K,S,q,r,sigma,t,price
50.0,90.0,0.01,0.01,0.001,0.25,0.0
50.0,90.0,0.01,0.01,0.001,0.5,0.0
50.0,90.0,0.01,0.01,0.001,0.75,0.0
50.0,90.0,0.01,0.01,0.001,1.0,0.0
50.0,90.0,0.01,0.01,0.1611177812950031,0.25,1.0537004219804568e-13
50.0,90.0,0.01,0.01,0.1611177812950031,0.5,1.7072536533427103e-07
50.0,90.0,0.01,0.01,0.1611177812950031,0.75,2.5286390288221505e-05
50.0,90.0,0.01,0.01,0.1611177812950031,1.0,0.0003426594626354225
50.0,90.0,0.01,0.01,0.26330071698522917,0.25,7.248182102034162e-06
50.0,90.0,0.01,0.01,0.26330071698522917,0.5,0.0026871795116351167
50.0,90.0,0.01,0.01,0.26330071698522917,0.75,0.023723501165760462
50.0,90.0,0.01,0.01,0.26330071698522917,1.0,0.07736025815877193
50.0,90.0,0.01,0.01,0.38590108597281136,0.25,0.0041687046844868375
50.0,90.0,0.01,0.01,0.38590108597281136,0.5,0.10059386920007045
50.0,90.0,0.01,0.01,0.38590108597281136,0.75,0.3484222604089979
50.0,90.0,0.01,0.01,0.38590108597281136,1.0,0.7027870635572026
50.0,90.0,0.01,0.01,0.7066863283197075,0.25,0.46689736185281416
50.0,90.0,0.01,0.01,0.7066863283197075,0.5,1.9235701234921905
50.0,90.0,0.01,0.01,0.7066863283197075,0.75,3.553092850929851
50.0,90.0,0.01,0.01,0.7066863283197075,1.0,5.138248860460461
50.0,90.0,0.01,0.05455,0.001,0.25,0.0
50.0,90.0,0.01,0.05455,0.001,0.5,0.0
50.0,90.0,0.01,0.05455,0.001,0.75,0.0
50.0,90.0,0.01,0.05455,0.001,1.0,0.0
50.0,90.0,0.01,0.05455,0.1611177812950031,0.25,3.652202048467167e-14
50.0,90.0,0.01,0.05455,0.1611177812950031,0.5,5.6441835805804876e-08
50.0,90.0,0.01,0.05455,0.1611177812950031,0.75,7.994865926973562e-06
50.0,90.0,0.01,0.05455,0.1611177812950031,1.0,0.00010383018966220406
50.0,90.0,0.01,0.05455,0.26330071698522917,0.25,4.761531743939536e-06
50.0,90.0,0.01,0.05455,0.26330071698522917,0.5,0.0017018952260434662
50.0,90.0,0.01,0.05455,0.26330071698522917,0.75,0.01453672463397011
50.0,90.0,0.01,0.05455,0.26330071698522917,1.0,0.04597451285530727
50.0,90.0,0.01,0.05455,0.38590108597281136,0.25,0.0033679365531214672
50.0,90.0,0.01,0.05455,0.38590108597281136,0.5,0.07888490677191064
50.0,90.0,0.01,0.05455,0.38590108597281136,0.75,0.26618624680282016
50.0,90.0,0.01,0.05455,0.38590108597281136,1.0,0.5242737737508953
50.0,90.0,0.01,0.05455,0.7066863283197075,0.25,0.4301712754154315
50.0,90.0,0.01,0.05455,0.7066863283197075,0.5,1.7356977701116076
50.0,90.0,0.01,0.05455,0.7066863283197075,0.75,3.149019674416713
50.0,90.0,0.01,0.05455,0.7066863283197075,1.0,4.480033321647869
50.0,90.0,0.01,0.0991,0.001,0.25,0.0
50.0,90.0,0.01,0.0991,0.001,0.5,0.0
50.0,90.0,0.01,0.0991,0.001,0.75,0.0
50.0,90.0,0.01,0.0991,0.001,1.0,0.0
50.0,90.0,0.01,0.0991,0.1611177812950031,0.25,1.2426568080003504e-14
50.0,90.0,0.01,0.0991,0.1611177812950031,0.5,1.7996930960943324e-08
50.0,90.0,0.01,0.0991,0.1611177812950031,0.75,2.396686735118467e-06
50.0,90.0,0.01,0.0991,0.1611177812950031,1.0,2.933693201530747e-05
50.0,90.0,0.01,0.0991,0.26330071698522917,0.25,3.1072128653396438e-06
50.0,90.0,0.01,0.0991,0.26330071698522917,0.5,0.0010641984267765608
50.0,90.0,0.01,0.0991,0.26330071698522917,0.75,0.00874329382660937
50.0,90.0,0.01,0.0991,0.26330071698522917,1.0,0.026667196993449573
50.0,90.0,0.01,0.0991,0.38590108597281136,0.25,0.0027129774545452657
50.0,90.0,0.01,0.0991,0.38590108597281136,0.5,0.06151690865917961
50.0,90.0,0.01,0.0991,0.38590108597281136,0.75,0.20172376801184602
50.0,90.0,0.01,0.0991,0.38590108597281136,1.0,0.3870158426102692
50.0,90.0,0.01,0.0991,0.7066863283197075,0.25,0.39602154786578414
