K,S,q,r,sigma,t,price
50.0,0.0,0.01,0.01,0.001,0.25,49.875156119873004
50.0,0.0,0.01,0.01,0.001,0.5,49.75062395963412
50.0,0.0,0.01,0.01,0.001,0.75,49.62640274095692
50.0,0.0,0.01,0.01,0.001,1.0,49.5024916874584
50.0,0.0,0.01,0.01,0.1611177812950031,0.25,49.875156119873004
50.0,0.0,0.01,0.01,0.1611177812950031,0.5,49.75062395963412
50.0,0.0,0.01,0.01,0.1611177812950031,0.75,49.62640274095692
50.0,0.0,0.01,0.01,0.1611177812950031,1.0,49.5024916874584
50.0,0.0,0.01,0.01,0.26330071698522917,0.25,49.875156119873004
50.0,0.0,0.01,0.01,0.26330071698522917,0.5,49.75062395963412
50.0,0.0,0.01,0.01,0.26330071698522917,0.75,49.62640274095692
50.0,0.0,0.01,0.01,0.26330071698522917,1.0,49.5024916874584
50.0,0.0,0.01,0.01,0.38590108597281136,0.25,49.875156119873004
50.0,0.0,0.01,0.01,0.38590108597281136,0.5,49.75062395963412
50.0,0.0,0.01,0.01,0.38590108597281136,0.75,49.62640274095692
50.0,0.0,0.01,0.01,0.38590108597281136,1.0,49.5024916874584
50.0,0.0,0.01,0.01,0.7066863283197075,0.25,49.875156119873004
50.0,0.0,0.01,0.01,0.7066863283197075,0.5,49.75062395963412
50.0,0.0,0.01,0.01,0.7066863283197075,0.75,49.62640274095692
50.0,0.0,0.01,0.01,0.7066863283197075,1.0,49.5024916874584
50.0,0.0,0.01,0.05455,0.001,0.25,49.322753471008845
50.0,0.0,0.01,0.05455,0.001,0.5,48.6546801992383
50.0,0.0,0.01,0.05455,0.001,0.75,47.99565593355612
50.0,0.0,0.01,0.05455,0.001,1.0,47.34555810580303
50.0,0.0,0.01,0.05455,0.1611177812950031,0.25,49.322753471008845
50.0,0.0,0.01,0.05455,0.1611177812950031,0.5,48.6546801992383
50.0,0.0,0.01,0.05455,0.1611177812950031,0.75,47.99565593355612
50.0,0.0,0.01,0.05455,0.1611177812950031,1.0,47.34555810580303
50.0,0.0,0.01,0.05455,0.26330071698522917,0.25,49.322753471008845
50.0,0.0,0.01,0.05455,0.26330071698522917,0.5,48.6546801992383
50.0,0.0,0.01,0.05455,0.26330071698522917,0.75,47.99565593355612
50.0,0.0,0.01,0.05455,0.26330071698522917,1.0,47.34555810580303
50.0,0.0,0.01,0.05455,0.38590108597281136,0.25,49.322753471008845
50.0,0.0,0.01,0.05455,0.38590108597281136,0.5,48.6546801992383
50.0,0.0,0.01,0.05455,0.38590108597281136,0.75,47.99565593355612
50.0,0.0,0.01,0.05455,0.38590108597281136,1.0,47.34555810580303
50.0,0.0,0.01,0.05455,0.7066863283197075,0.25,49.322753471008845
50.0,0.0,0.01,0.05455,0.7066863283197075,0.5,48.6546801992383
50.0,0.0,0.01,0.05455,0.7066863283197075,0.75,47.99565593355612
50.0,0.0,0.01,0.05455,0.7066863283197075,1.0,47.34555810580303
50.0,0.0,0.01,0.0991,0.001,0.25,48.77646907239615
50.0,0.0,0.01,0.0991,0.001,0.5,47.58287870340835
50.0,0.0,0.01,0.0991,0.001,0.75,46.41849622904749
50.0,0.0,0.01,0.0991,0.001,1.0,45.28260691406544
50.0,0.0,0.01,0.0991,0.1611177812950031,0.25,48.77646907239615
50.0,0.0,0.01,0.0991,0.1611177812950031,0.5,47.58287870340835
50.0,0.0,0.01,0.0991,0.1611177812950031,0.75,46.41849622904749
50.0,0.0,0.01,0.0991,0.1611177812950031,1.0,45.28260691406544
50.0,0.0,0.01,0.0991,0.26330071698522917,0.25,48.77646907239615
50.0,0.0,0.01,0.0991,0.26330071698522917,0.5,47.58287870340835
50.0,0.0,0.01,0.0991,0.26330071698522917,0.75,46.41849622904749
50.0,0.0,0.01,0.0991,0.26330071698522917,1.0,45.28260691406544
50.0,0.0,0.01,0.0991,0.38590108597281136,0.25,48.77646907239615
50.0,0.0,0.01,0.0991,0.38590108597281136,0.5,47.58287870340835
50.0,0.0,0.01,0.0991,0.38590108597281136,0.75,46.41849622904749
50.0,0.0,0.01,0.0991,0.38590108597281136,1.0,45.28260691406544
50.0,0.0,0.01,0.0991,0.7066863283197075,0.25,48.77646907239615
50.0,0.0,0.01,0.0991,0.7066863283197075,0.5,47.58287870340835
50.0,0.0,0.01,0.0991,0.7066863283197075,0.75,46.41849622904749
50.0,0.0,0.01,0.0991,0.7066863283197075,1.0,45.28260691406544
50.0,0.0,0.01,0.14365,0.001,0.25,48.23623516008371
50.0,0.0,0.01,0.14365,0.001,0.5,46.53468764837791
50.0,0.0,0.01,0.14365,0.001,0.75,44.89316273016399
50.0,0.0,0.01,0.14365,0.001,1.0,43.30954309064192
50.0,0.0,0.01,0.14365,0.1611177812950031,0.25,48.23623516008371
50.0,0.0,0.01,0.14365,0.1611177812950031,0.5,46.53468764837791
50.0,0.0,0.01,0.14365,0.1611177812950031,0.75,44.89316273016399
50.0,0.0,0.01,0.14365,0.1611177812950031,1.0,43.30954309064192
